"ID_REF"	"GSM710733"	"GSM710735"	"GSM710737"
"LINC01355"	5.50689587895866	5.73630482956876	4.94825727164175
"LINC01356"	4.7411207263871	3.5008513492293	4.20345408650738
"LINC01359"	9.34315161479305	9.17077415875445	9.46873598433327
"LINC01360"	3.257395902479	3.34615315058363	3.30072030424038
"LINC01361"	3.20593478395311	3.15110200980846	3.29473453977984
"LINC01362"	4.52534719670087	3.82970377228963	3.80562286715344
"LINC01364"	4.12959763233572	3.59082260052923	3.6237327193506
"LINC01365"	4.97627271469483	4.5080941988771	4.77674263565811
"LINC01366"	4.85105971124337	4.77228555435322	5.057831748878
"LINC01393"	3.54166330913018	3.32442725548683	3.30892443183703
"LINC01395"	3.91369203810411	3.73220022797724	3.63106175430603
"LINC01398"	3.63171514608748	3.82302083231114	4.08846408044969
"LINC01405"	3.65189005292184	3.42138962623962	3.56612408234965
"LINC01409"	4.71296604448232	4.97969991225316	4.53319393934679
"LINC01410"	7.22070657719372	6.87855999942818	6.41508685116124
"LINC01416"	3.35325373629223	3.20901616335685	3.47224571352795
"LINC01419"	2.99860941358421	3.07130173270036	3.10800117787811
"LINC01424"	4.05838773811019	4.17190659729477	4.09652044073496
"LINC01425"	5.57027357257858	5.39854724273757	5.70996624183801
"LINC01426"	3.31571255161993	3.0226365427547	3.11789171042523
"LINC01428"	4.12959763233572	3.48392645525808	4.04386801781264
"LINC01431"	3.63474758611237	3.56380009385445	3.64981052176467
"LINC01432"	3.46721961608535	3.29556068915915	3.56078232459855
"LINC01442"	4.33724760790121	3.83662323373752	4.30634173094295
"LINC01448"	3.63474445411352	3.47770737553096	3.43172135197479
"LINC01449"	3.63171514608748	3.43709992140201	3.80437404122591
"LINC01465"	4.45824625278098	4.40419892313161	4.5583503065741
"LINC01467"	3.52849732113597	3.36980494443873	3.40497741717048
"LINC01477"	3.65082873452463	3.64860129592841	3.62410270193537
"LINC01482"	4.7309582599106	4.33157792194433	4.68652029588731
"LINC01487"	3.56486028874303	3.11807830432231	3.37166777354161
"LINC01490"	3.77570043902413	3.51751920278074	3.53684554288876
"LINC01492"	3.03771177300135	3.08221681067983	3.26018959111031
"LINC01494"	3.55299782712665	3.53699914204913	3.98810186525998
"LINC01500"	3.57475760549748	3.88841775684234	3.88253898965143
"LINC01503"	8.99605764376736	7.8812330945237	8.92008577222644
"LINC01504"	8.35983138690059	8.59416380403998	9.10009011381846
"LINC01505"	3.56382887966043	3.46195292023581	3.48903748079284
"LINC01511"	5.10568190261533	4.80996492945791	5.92590352196183
"LINC01514"	3.51355398764954	3.60985250583155	3.8421064171876
"LINC01517"	2.90569094219041	2.9595983069227	2.91036742285131
"LINC01520"	5.51117350784084	5.08504527815812	5.12121467903925
"LINC01521"	4.06099559376239	4.34705392096061	4.66616889481752
"LINC01523"	4.48152664363378	4.29432206210219	4.53758924203367
