"ID_REF"	"GSM710979"	"GSM711481"	"GSM711685"	"GSM711687"	"GSM1209565"	"GSM1209567"	"GSM1209571"
"AC004882.3"	"11.401314001177"	"11.4005605388866"	"11.3744705870275"	"11.3454454202628"	"11.3336224992863"	"11.1273723685469"	"11.717728122521"
"AC004900.1"	"8.53380601681064"	"8.74018695066978"	"8.37356213998789"	"8.47531312063715"	"8.52574178911732"	"8.5410627758316"	"8.38533161573961"
"AC004908.1"	"4.63014922255"	"4.63475064107722"	"4.79937676005033"	"4.96735880741004"	"4.42343339202859"	"4.77271391866097"	"5.07458625364355"
"AC004917.1"	"4.71593842511218"	"4.49455125653807"	"4.26666951547674"	"4.61577731740279"	"4.52525153284906"	"4.49238529435658"	"4.50665566495387"
"AC004918.1"	"5.97875688503821"	"6.38162201718402"	"6.0338641272469"	"6.27166372349032"	"6.3969990443011"	"6.09544305444399"	"5.96493453531686"
"AC004918.3"	"6.02252177849802"	"5.9041465067831"	"6.28847348555458"	"6.08415722748585"	"5.91704187944867"	"6.18902332279823"	"6.07868958093562"
"AC004938.2"	"4.79265697455219"	"4.82351733504345"	"4.92388322683111"	"4.80940190051746"	"4.8023494293148"	"4.59840269994643"	"5.13430730414155"
"AC004943.2"	"4.76351823109079"	"4.8051175126441"	"4.6029755993318"	"4.87806831700455"	"4.81325727740293"	"4.83916450959864"	"4.64213873487714"
"AC004944.1"	"3.83849403432114"	"3.76388393668817"	"3.79059262861465"	"3.88294780187861"	"3.81898901405921"	"3.85820286938055"	"3.84093416600285"
"AC004947.1"	"4.05957098154846"	"3.98040404745243"	"3.98403386649718"	"4.25217427457151"	"3.82759917778565"	"4.38377716355054"	"4.02091776327549"
"AC004948.1"	"3.08365157623549"	"2.99133587260619"	"2.97033076992477"	"3.45829867199982"	"3.22254012987558"	"3.08558810695172"	"3.02845243050762"
"AC004951.1"	"9.04409516615777"	"8.28007554163732"	"9.25325603961243"	"8.53253478256243"	"8.62074031576044"	"9.1410935391246"	"8.42612242148259"
"AC004967.2"	"7.82963974625228"	"7.98027362209985"	"8.3753923833505"	"8.3344074946197"	"8.00060632699813"	"7.94249411963227"	"8.30167358897546"
"AC004972.1"	"3.14019622250223"	"3.24387705235929"	"3.24561177362642"	"3.20792817266435"	"3.31792777977955"	"3.23814814789094"	"3.08112698855199"
"AC004982.1"	"3.57297382263343"	"3.42031516407024"	"3.47796604928769"	"3.59624407300073"	"3.62353905169752"	"3.43882020243484"	"3.516721362922"
"AC005005.3"	"5.15847575027065"	"5.3578545446519"	"5.1072217935859"	"5.10285780475066"	"5.17030557516213"	"5.17200226478937"	"5.22158072935915"
"AC005009.1"	"3.14173171144368"	"3.07871301377599"	"3.2090785964755"	"3.27524996214185"	"3.17116737729382"	"3.25262863684459"	"3.11721743339767"
"AC005014.2"	"3.89746411923366"	"3.96936245215609"	"3.8214986088963"	"3.92549486944878"	"3.85068070051564"	"3.92773310055342"	"3.97136268391027"
"AC005034.5"	"7.84618659559116"	"7.79834530798499"	"7.62159360314035"	"7.88724226719464"	"7.76163661455014"	"7.79812133791953"	"7.64714343562704"
"AC005037.1"	"6.74630677622223"	"5.6895807073599"	"6.26837772251762"	"5.27657986758692"	"5.98618118617779"	"5.88785945873336"	"5.95919963501012"
"AC005041.4"	"4.19848259361218"	"4.49705433028044"	"4.36806993572663"	"4.4206719383388"	"4.13873620021908"	"4.50125958450648"	"4.46154752310051"
"AC005041.5"	"9.93823396112902"	"10.1001920315216"	"10.0910724907843"	"9.92220382775634"	"10.4681686996863"	"9.83761244992692"	"9.69155927826249"
"AC005062.1"	"7.0098858700191"	"7.24822091713198"	"7.12715212478626"	"7.19911692297466"	"7.14800274800376"	"7.08750686890494"	"7.212583875821"
"AC005064.1"	"2.93566275034884"	"3.01573738398942"	"2.92113469467307"	"3.16818507458603"	"3.11835228222321"	"2.98467373737981"	"2.94905670200467"
"AC005072.1"	"5.41859939604363"	"5.07349950258831"	"4.90995422037613"	"4.86361165003785"	"4.95751365381181"	"4.95878738090891"	"5.18261819959925"
"AC005076.1"	"5.48531929038657"	"5.73567917448581"	"5.55299507972143"	"5.44399284144652"	"5.62524740386634"	"5.5761064436334"	"5.46468870953329"
"AC005082.2"	"8.11517771487544"	"7.87693642906219"	"7.79430529869039"	"7.95589111036659"	"7.98272680319173"	"7.68531177958192"	"8.08843113892758"
"AC005083.1"	"4.3479208267652"	"4.52054224522698"	"4.82507375241371"	"4.77715567297399"	"4.64809334703413"	"4.37825547977868"	"4.81459781783008"
